Number,Full date,Day,Month,Year,Country name,Country code,Latitude,Longitude,Purpose of gathering,Fatalities,Injured,Crowd size,Description,References
152,"August 31, 2005",31,8,2005,Iraq,IRQ,33.374898,44.355208,Religious,953,-1,1000000,"One person in a crowd of about a million pilgrims on their way to a temple shouted that another pilgrim was carrying explosives. Fearful of suicide bombers, the crowd surged towards a closed bridge. Despite the gates at both ends of the bridge being locked, the crowd forced their way in but were unable to escape from the far end, causing deadly overcrowding. Many people also fell off the bridge and drowned.",20050831.txt
153,"September 8, 2005",8,9,2005,Sri Lanka,LKA,7.180676785,79.88438084,Transportation,1,62,400,A bomb hoax resulted in a sudden evacuation aboard a plane which was about to take off. 62 passengers were wounded in the accident. Emergency exits were opened to let passenger evacuate the plane. 424 passengers and 19 crewmembers were on board.,20050908.txt
154,"October 3, 2005",3,10,2005,South Korea,KOR,36.43228766,128.1616112,Entertainment,11,72,20000,"At least 11 people were killed and more injured in an accident before a concert, when about 5,000 people rushed to enter a gate at an outdoor stadium, causing a chain reaction of collapses. The victims included mostly people in their 60s, as well as a seven-year-old and two teenagers. Police suspect the rush was driven by a desire for better seats.",20051003.txt
155,"October 6, 2005",6,10,2005,Bangladesh,BGD,22.11329463,92.03153695,Charity,8,50,4000,"Several accidends of various extent took place several times over two days as thousands of people gathered at the residence of an industrialist to collect gifts. Details remains unclear, although it is believed another 50 were injured.",20051006.txt
156,"October 25, 2005",25,10,2005,China,CHN,31.82846336,107.2255881,Educational,12,45,480,"As students were about to leave after evening classes a blackout occurred and someone shouted ""ghosts"", getting everyone rushing to the staircase where the accident occurred. Another 27 have been injured, some seriously.",20051025.txt
157,"October 30, 2005",30,10,2005,Saudi Arabia,SAU,21.38792285,39.8574423,Charity,7,40,500,An accident occurred as a man was distributing cash in a car park. As voices started to circulate more and more people rushed causing a collective motion killing 7 and injuring 40.,20051030.txt
158,"November 6, 2005",6,11,2005,India,IND,13.109722,80.26,Charity,6,10,10000,People began to gather very early for a food relief supply campaign organized in a school. As soon as the gates were opened people stormed in leading to the accident. Dozens were injured.,20051106.txt
159,"November 13, 2005",13,11,2005,Nigeria,NGA,10.51969969,7.399143047,Educational,22,-1,-1,At least 22 students were feared killed in an early morning crowd accident caused by a fire at a carpenter's workshop behind the school. The tragedy occurred as students rushed to escape the blaze.,20051113.txt
160,"December 18, 2005",18,12,2005,India,IND,13.0346201,80.19683259,Charity,42,37,4500,"At 3am a crowd of about 4,500 people began to gather at a distribution center offering relief supplies (open was scheduled for 9am). Shortly afterward it began to rain heavily and rumors spread that distribution of supplies would be limited to 1,000 families. At around 4am, the crowd broke through a police cordon and surged into the entrance of the building. People at the front of the crowd slipped and fell on the sloping ground of the entranceway. There were enough supplies for 45,000 families.",20051218.txt
161,"December 23, 2005",23,12,2005,Slovenia,SVN,46.13524327,14.44424684,Entertainment,3,-1,-1,"A tragic accident occurred outside a nightclub, where three young girls were killed and several others injured due to overcrowding. The nightclub's owner  was found guilty of causing general danger by failing to ensure safety, and was sentenced to five years in prison.",20051223.txt
162,"January 12, 2006",12,1,2006,Saudi Arabia,SAU,21.413333,39.893333,Religious,345,1000,700000,Abandoned luggage caused an incident among pilgrims attending the Stoning of the Devil ceremony. Pilgrims got killed as they tripped over luggage left at the entrance of a bridge and were overrun by the crowd behind.,20060112.txt
163,"February 4, 2006",4,2,2006,Brazil,BRA,-23.6650038,-46.72184789,Entertainment,3,42,15000,"The excited crowd rushed the stage at a concert, killing three and injuring 42.",20060204_1.txt
164,"February 4, 2006",4,2,2006,Philippines,PHL,14.578611,121.066389,Entertainment,73,400,30000,"Around 30,000 people gathered outside a stadium for a public event. Games with cash and luxury goods as prizes were scheduled to start at 6am, with tickets only available on the day at the venue. Once the festival began, the organizers announced that only the first 300 people could participate in the prize games. This lead to a huge crowd surge. The security hurried to close the gates, but the crowd behind did not stop, and the gate collapsed, causing the accident.",20060204_2.txt
165,"February 7, 2006",7,2,2006,Haiti,HTI,18.6022706,-72.28266952,Political,2,-1,-1,"During the elections significant disorganization and long delays led to chaos and large crowds forming outside many polling stations. In one such incident, a 75-year-old man died at a voting center. The long wait in the heat, combined with frustration, caused tension among voters, leading to some forcing their way into the buildings.",20060207.txt
166,"April 9, 2006",9,4,2006,Pakistan,PAK,28.65049291,70.66902445,Religious,30,70,10000,"An accident occurred on stairs during a 10,000 packed religious event attended by women. Reports are unclear, but they agree that a women stopped on stairs to assist a child, leading some to stumble and ultimately leading to a collective motion toward the only narrow exit located below the stairs. Over 100 people suffered injuries.",20060409.txt
167,"September 12, 2006",12,9,2006,Yemen,YEM,13.9603773,44.17644103,Political,51,238,300000,"A crowd incident occurred as participants left a stadium that was used as a venue for a presidential election rally. It is believed people in the overcrowded stadium rushed toward the stage to get a glimpse of the president, leading to the collapse of an iron fence. More than 200 were injured.",20060912.txt
168,"November 4, 2006",4,11,2006,India,IND,19.94121059,85.67338647,Religious,4,30,50000,"An accident occurred as doors of a temple were opened and thousands of devotees tried to enter. Around 50,000 pilgrims were waiting for hours to enter the shrine. All dead were over 70 years old. ",20061104.txt
169,"November 18, 2006",18,11,2006,China,CHN,29.36332051,116.4183976,Educational,6,39,1600,"Aften an evening class, middle school students swarmed into the staircase of a three-story building killing 6 and injuring 39. It is unclear what triggered the collective motion, with a witness suggesting someone was seen squatting to tie shoelaces on the stairs as hundreds rushed downstairs.",20061118.txt
170,"February 18, 2007",18,2,2007,Japan,JPN,34.6536307,134.0380475,Religious,1,-1,9000,"During a religious festival around 9,000 nearly naked men gathered inside a temple to compete for sacred wooden sticks, believed to bring good fortune. At around midnight, the lights were turned off and the sticks were thrown into the crowd from above. This triggered an intense, chaotic scramble, with participants pushing, surging, and piling on top of each other in a confined space.",20070218.txt
171,"April 30, 2007",30,4,2007,Tunisia,TUN,34.733333,10.766667,Entertainment,6,-1,-1,A major surge occurred during an open air concert as enthusiastic spectators saw stars appearing on stage. Several people fell down eventually resulting in the fatalities.,20070430.txt
172,"June 2, 2007",2,6,2007,Zambia,ZMB,-12.360556,27.824167,Sport,12,46,40000,"Spectators leaving a soccer game rushed for the free shuttle buses, causing a crowd incident. Another 40 people were injured.",20070602.txt
173,"September 7, 2007",7,9,2007,Zambia,ZMB,-11.84158478,31.44214055,Charity,4,6,-1,A brick wall collapsed as victims were trying to reach a free mosquito net handout in a community hall. Some people tried to reach the location by climbing the walls causing the collapse. 6 more people were injured.,20070907.txt
174,"October 3, 2007",3,10,2007,India,IND,25.28140739,83.11994082,Transportation,14,48,4000,"As three overcrowded trains carrying thousands of pilgrims to a religious event arrived at a station, a platform change was announced. A crowd incident occurred as the passengers tried to make their transfers. 14 women died and more than 40 were injured.  ",20071003.txt
175,"October 5, 2007",5,10,2007,North Korea,PRK,39.04989158,125.7752789,Other/Unknown,6,34,150000,"A crowd incident occurred as 150,000 spectators were leaving a stadium after watching a public execution. Another 34 were injured. Details remain unclear.",20071005.txt
176,"October 13, 2007",13,10,2007,India,IND,22.46336021,73.5157718,Religious,12,9,200000,An incident took place on a bridge leading to a hilltop temple during a religios event used on both directions. It is reported that thousands of people crowded a narrow path leading to the temple. Some pilgrims are thought to have been pushed off the bridge while others fell over.,20071013.txt
177,"November 10, 2007",10,11,2007,China,CHN,25.05912996,121.5138661,Shopping,3,30,-1,"A supermarket offered a 20% discount on cooking oil. As the store opened, a large number of customers who had been waiting outside were admitted at the same time, causing a crowd incident. 3 people were killed and more than 30 injured. ",20071110.txt
178,"December 8, 2007",8,12,2007,Egypt,EGY,30.58718371,31.4732196,Educational,5,100,-1,"An evacuation at an university, caused by an electrical fire, left at least three people dead and more than 100 injured. The fire broke out in a crowded lecture hall, and although it did not spread, it led to a flee, and some students jumped from second-floor windows.",20071208.txt
179,"January 3, 2008",3,1,2008,India,IND,16.51539865,80.60582094,Religious,6,15,100000,"An accident occurred as thousands of pilgrims attempted to garland a statue in a temple, killing 6 and injuring another 15. More than 100,000 pilgrims gathered at the hill-top temple which had only one gate used for both entry and exit.",20080103.txt
180,"February 1, 2008",1,2,2008,China,CHN,23.15261782,113.2521269,Transportation,1,0,260000,"An accident in a railway station resulted in the death of a passenger, who was injured during a chaotic rush as stranded passengers tried to board trains after days of waiting. The station was crowded with 260,000 passengers, part of a larger backlog of 1.4 million people trying to leave ahead of the Spring Festival.",20080201.txt
181,"February 9, 2008",9,2,2008,Indonesia,IDN,-6.920830364,107.6187811,Entertainment,10,60,1500,A deadly accident occurred after a concert as people tried to get in at the same time when hundreds attempted to get out through the only gate. Unconfirmed reports suggest the venue was filled over its capacity of 700.,20080209.txt
182,"March 27, 2008",27,3,2008,India,IND,24.57783095,77.73040449,Religious,9,12,100000,"A high-density crowd of 100,000 pilgrim gathered at a temple for a religious event. Crowd pressure caused a fence to collapse and many of the pilgrims fell over, causing a crowd incident. ",20080327.txt
183,"April 22, 2008",22,4,2008,India,IND,13.59710459,79.99699185,Religious,5,40,-1,"A crowd accident resulted in the deaths of five people, and left over 40 injured. The incident occurred during an inaugural function when devotees, scrambling for water in the intense heat, created a chaos. The injured were hospitalized, and authorities noted that the lack of proper facilities contributed to the tragedy.",20080422.txt
184,"June 1, 2008",1,6,2008,Liberia,LBR,6.257166041,-10.70203494,Sport,10,-1,35000,"An accident occurred as gates were closed, leaving thousands of people wanting to enter the full stadium outside. It is believed that many fake tickets were in circulation, leading the stadium to get filled as people still tried to enter. All the casualties occurred in front of a single gate.",20080601.txt
185,"June 20, 2008",20,6,2008,Mexico,MEX,19.50002511,-99.08864979,Entertainment,12,12,500,"Police raided a nightclub filled with 500 young people for drugs and underage drinking, causing the guests to flee. The only emergency exit was locked, and a crowd incident occurred, killing 12 people. ",20080620.txt
186,"July 4, 2008",4,7,2008,India,IND,19.8207109,85.84546349,Religious,6,12,-1,An accident occurred in front of a temple's gate as the deity was taken out. A crowd surge occurred which caused those accompanying the deity to fell down. 12 were injured. It is said one million people congregated for the 9-days festival.,20080704.txt
187,"July 13, 2008",13,7,2008,Sudan,SDN,15.6417852,32.47166718,Other/Unknown,23,36,-1,"An accident in a football stadium during a graduation ceremony for youth entering national service resulted in 23 deaths, and left 36 people injured. The accident occurred as the crowd was attempting to enter the stadium, resulting in the fatal crush due to poor organization and overcrowding. The ceremony continued afterward.",20080713.txt
188,"August 3, 2008",3,8,2008,India,IND,31.30631058,76.53579312,Religious,146,150,3000,"A rain shelter collapsed at a temple where 3,000 followers had gathered for a religious event. Someone who saw the collapse shouted that there had been a landslide, and those in the crowd who heard this rushed towards the perimeter fencing that had been installed by the police, causing a crowd incident in which the fence collapsed and 146 people died. It was raining at the time.",20080803.txt
189,"September 14, 2008",14,9,2008,DRC,COD,0.142261238,29.29302271,Sport,13,36,-1,"Riots started between fans after a player conducted a ""witchcraft"" to weaken the opposite team. Crowd escaping the riot resulted in an accident, killing 11 and injuring others.",20080914.txt
190,"September 15, 2008",15,9,2008,Indonesia,IDN,-7.638470891,112.907572,Charity,23,60,2500,"A crowd accident killed 21 women and injured dozens more as a crowd rushed to receive a cash handout from a philanthropist. The incident occurred when around 2,000 people pushed through a narrow alley. The victims, weakened by fasting and the intense heat, were trampled in the crush, with some suffering from oxygen shortages. Police have criticized the poor organization of the event.",20080915.txt
191,"September 30, 2008",30,9,2008,India,IND,26.29681675,73.01792019,Religious,224,425,25000,An accident happened at the moment the door of a temple was opened resulting in the destruction of the barricades. A slope leading to the temple resulted in many people to loose footing. Rumors have blamed a bomb blast nearby and possibly also a collapsing wall could have caused the collective reaction. More than 425 people were injured.,20080930.txt
192,"October 2, 2008",2,10,2008,Tanzania,TZA,-5.030735866,32.82041121,Entertainment,19,50,400,Children were killed by a possible combination of lack of oxygen and crowd pressure in an overfilled disco hall. Occupancy was reported being twice the recommended number.,20081002.txt
193,"November 28, 2008",28,11,2008,USA,USA,40.66121628,-73.72670357,Shopping,1,4,2000,"A crowd of over 2,000 people gathered at a store on the day before a bargain sale. As the opening time of the store approached, the crowd smashed the glass doors at the store’s entrance. Five minutes before the store was scheduled to open, a store employee got killed under the collective crowd motion. The store was due to open at 5am and the crowd had begun to gather at about 9pm on the previous day, filling the available space by 3:30am.",20081128.txt
194,"March 21, 2009",21,3,2009,Russia,RUS,56.90373187,59.96160104,Entertainment,4,-1,200,"An accident at a disco killed four people when news spread of free entry. About 200 people rushed to the venue, and the crush left one person hospitalized and seven others treated at the scene. Quick actions by police helped prevent further casualties.",20090321.txt
195,"March 22, 2009",22,3,2009,China,CHN,29.70964755,107.3940122,Shopping,2,11,-1,An accident occurred during a sales promotion where giveaways were given to the people. Two people were killed and 11 were injured in the accident.,20090322.txt
196,"March 29, 2009",29,3,2009,Ivory Coast,CIV,5.32825,-4.018417,Sport,19,135,36000,"A crowd of fans without tickets had gathered outside the stadium, and rushed the entrance just before the start of the match. The entranceway collapsed due to the sudden crowd pressure, causing an incident. Over 100 people were injured.",20090329.txt
197,"May 23, 2009",23,5,2009,Morocco,MAR,33.97589913,-6.824160641,Entertainment,11,40,70000,"An incident occurred as spectators attempted to leave in a hurry a 70,000 packed free concert leading to the collapse of a wire fence. The event was moved to a larger venue to meet a growing demand. Delays in the concert schedule may have contributed to the sudden move and some blamed police decision to close some gate.",20090523.txt
198,"July 22, 2009",22,7,2009,India,IND,25.305306,83.01204665,Entertainment,2,13,70000,"Two people were killed during a large gathering at the banks of the Ganges to watch the solar eclipse. One person drowned, while the other was crushed in an accident caused by the heavy rush of pilgrims, with an estimated 60,000-70,000 people present.",20090722.txt
199,"September 9, 2009",9,9,2009,India,IND,28.73364798,77.2487786,Educational,5,34,2500,"A rumor started among a group of students who had got wet in the rain on their way to school that rain leakage had caused a short circuit and they were at risk of electrocution. In the ensuing chaos, a counterflow occurred on the stairs as students tried to flee, causing a crowd incident. There were five deaths and 33 injuries. ",20090909.txt
200,"September 14, 2009",14,9,2009,Pakistan,PAK,24.85418784,67.00333333,Charity,20,30,500,"An accident occurred during a charity flour distribution killing 20 and injuring more than 30. The incident occurred in an overcrowded area when hundreds of women, desperate for aid during Ramadan, rushed into a small charity office. The chaos was exacerbated by a power outage and a security guard’s use of force to manage the crowd.",20090914.txt
201,"December 7, 2009",7,12,2009,China,CHN,27.7325644,112.551572,Educational,8,26,2500,"52 classes ended simultaneously meaning that between 2,000 and 2,500 students left their classrooms at the same time. The crowd became concentrated on the single staircase close to the student dormitories, causing a crowd incident. It was raining heavily outside. Eight people were killed and 26 were injured. ",20091207.txt
202,"December 20, 2009",20,12,2009,India,IND,21.73851492,70.45042161,Religious,8,35,100000,"A disaster occurred as gates of a temple were opened during a cerimony which could accommodate 50,000 people despite the estimated 100,000 present. It is believed somebody slipped triggering the disaster.",20091220.txt
203,"January 14, 2010",14,1,2010,India,IND,21.88168389,88.16483258,Religious,7,14,-1,An accident occurred at a jetty as people surged to board a boat during a religious festival. It is believed only a bamboo barricate stood betweeen the crowd and the jetty which easily crumbled. Dozens were injured.,20100114.txt
204,"February 25, 2010",25,2,2010,Mali,MLI,16.771389,-3.01,Religious,26,41,4000,An accident occurred at the entrance of a mosque as people had to squeeze through a narrow road because the main road was closed for construction. Another 55 people had been injured.,20100225.txt
205,"March 4, 2010",4,3,2010,India,IND,25.61921357,81.68667099,Charity,63,100,10000,"A rumor claiming someone had been electrocuted by faulty electric wiring spread among a crowd of 10,000 people that had gathered at a temple distributing free food and clothes. The crowd all tried to flee at once, rushing through a gate that was still under construction, and the gate collapsed. Subsequent crowds tried to get through, leading to a crowd incident. Many of the victims got killled under the collapsed gate.",20100304.txt
206,"March 8, 2010",8,3,2010,India,IND,19.08186991,72.85503159,Application,1,11,40000,"Around 30,000 to 40,000 aspirants showed up in a recruitment center to apply for a police job. In total 100,000 forms were given out although 3,600 positions were available. The accident occurred as the gates were opened. 11 people were hurt.",20100308.txt
207,"March 22, 2010",22,3,2010,China,CHN,43.80700523,87.62878196,Educational,1,3,500,"A 9-year-old girl died from head injuries sustained in a school accident, which occurred when hundreds of students, mobilized to clean the campus after heavy snow, rushed to a storeroom, causing a collapse when one student stumbled. Three other students were injured but are in stable condition.",20100322.txt
208,"April 15, 2010",15,4,2010,South Africa,ZAF,-33.925278,18.423889,Shopping,1,-1,-1,A person died while queueing for World Cup tickets as thousands of people waited overnight. A seizure while in the line was identified as the apparent cause of death. Ticket sale system had been recently changed from internet to ticketing offices to allow a wider access to the public.,20100415.txt
209,"April 30, 2010",30,4,2010,India,IND,29.47092788,75.06438717,Religious,5,-1,-1,"Conflicting reports exist to explain a sudden surge which occurred during a religious function. Some believe a women mistook a thick rope for a snake and started screaming, others believe the surge was caused by a sprinkling of holy water. A structural collapse was also blamed by some. A squall hit the venue during the function.",20100430.txt
210,"May 16, 2010",16,5,2010,India,IND,28.64296673,77.21908895,Transportation,2,15,-1,A last minute platform change triggered a collective motion during summer rush with many people carrying luggages. 15 people were injured.,20100516.txt
211,"July 13, 2010",13,7,2010,India,IND,19.81341228,85.83121863,Religious,1,4,-1,"An accident during the annual Rath Yatra festival killed a woman and left four others seriously injured. The incident occurred when the chariot began moving, and a large crowd surged towards it. The deceased was trampled in the chaos, despite efforts by the police to control the crowd. This was the third such stampede at the festival in recent years.",20100713.txt
212,"July 24, 2010",24,7,2010,Germany,DEU,51.420417,6.772361,Entertainment,21,500,-1,An accident occurred when a crowd of people trying to get to a concert venue encountered a crowd that was trying to leave on a connecting road with a shared entrance and exit. More than 500 people were injured. The access road to get to the venue had a gentle uphill slope. ,20100724.txt
213,"September 10, 2010",10,9,2010,Tanzania,TZA,-6.857268253,39.27911226,Entertainment,2,13,-1,"An accident at a disco hall killed two young girls and injured 13 others. Children between the ages of six and 17 had gathered. While most of the injured were treated and discharged, three children with serious injuries remained in the hospital.",20100910.txt
214,"October 16, 2010",16,10,2010,India,IND,25.09072187,86.68746087,Religious,10,11,45000,"An argument over sacrifying goats during a religious festival triggered a simultaneous motion of the 40,000 people who had gathered at the temple. It is believed a commotion occurred as people tried to get their goats sacrified first. Another 11 people were injured.",20101016.txt
215,"October 23, 2010",23,10,2010,Kenya,KEN,-1.303877045,36.82462977,Sport,7,-1,-1,"An accident occurred as fans were trying to force their way into a stadium when a gate collapsed. It is believed the group did not have the tickets and did not want to pay, although other reports point out that gates were already closed despite the stadium being not filled. At the time it was raining heavily.",20101023.txt
216,"November 22, 2010",22,11,2010,Cambodia,KHM,11.556011,104.939497,Entertainment,347,755,-1,"4 million people attended a festival held on an island. The island and the mainland both became overcrowded. A crowd of about 7,000 people became trapped on the bridge to the island by the crowds on both sides and were unable to move for several hours. Rumors spread through the crowd that the bridge would collapse and that they were at risk of electrocution, causing widespread chaos. 347 people were killed and 755 injured.   ",20101122.txt
217,"January 1, 2011",1,1,2011,South Africa,ZAF,-27.19446152,25.2985545,Entertainment,10,-1,-1,"An accident at a bar during New Year celebrations killed 10 people, mostly young adults aged 18 to 25. The incident occurred shortly after midnight, possibly triggered by party-goers trying to flee a fight.",20110101.txt
218,"January 14, 2011",14,1,2011,India,IND,9.435812812,77.08071966,Religious,106,456,-1,"According to several sources, an out-of-control jeep collided with pigrims coming back home in an unlighted steep narrow forest stretch. The event triggered pirgrims to flee, ultimately leading to 106 deaths and injuring more than 450. However, details remains mostly unclear.",20110114.txt
219,"January 15, 2011",15,1,2011,Hungary,HUN,47.51011907,19.05503773,Entertainment,3,-1,2500,"An accident without an apparent trigger occurred in an overcrowded nightclub killing 3 and injuring 14. It is reported that about 2,500 were in the nightclub, designed for 307, while 4,000 tickets had been printed. A witness said he could not touch the ground for five to ten minutes due to extreme crowd density.",20110115.txt
220,"February 12, 2011",12,2,2011,Nigeria,NGA,4.825,7.021944,Political,11,29,4000,"People were leaving a packed stadium after a presidential rally. A police officer appearently shot in the air in an attempt to control the crowd, but resulting in a surge. Main gate was said to be locked forcing people to use narrow passageways. Some report that people were trying to leave while others attempted to get in at the same time.",20110212.txt
221,"February 21, 2011",21,2,2011,Mali,MLI,12.6601376,-7.99325757,Religious,36,64,25000,"An accident occurred as people were leaving a stadium where a religious cerimony had been held. The crowd surged against a metal barrier, killing 36 and injuring 64, most of them women. Some reports suggest the stadium was filled over capacity.",20110221.txt
222,"May 27, 2011",27,5,2011,Nigeria,NGA,8.482709401,4.514082848,Charity,25,-1,-1,"About 5,000 supporters of a political leader gathered for a valedictory party. Party leadership asked supporters to queue and started distributing gifts. After hours in line, when it started to get dark, believing the presents may be insufficient, people started jumping the queue resulting in an accident killing 25.",20110527.txt
223,"July 9, 2011",9,7,2011,Republic of the Congo,COG,-4.26882756,15.28559051,Entertainment,7,30,-1,"An accident whose details are rather unclear happened at the entrance of a stadium where a music festival was held. It is said a large crowd gathered, with people outside outnumbering people inside.",20110709.txt
224,"September 28, 2011",28,9,2011,Indonesia,IDN,-7.194519286,112.7332258,Transportation,8,58,875,"At least eight people were killed and 58 injured in an evacutaion on a ferry, following an explosion. Fear erupted among the 875 passengers after the blast. This incident was the fourth sea transport disaster in a week in Indonesia.",20110928.txt
225,"October 19, 2011",19,10,2011,United Kingdom,GBR,52.230375,-0.893753,Entertainment,2,8,1600,"An appearent announcement about couches leaving had people rush toward the exit in a nightclub (coach travel was included in ticket cost). Some reports suggest a fire alarm was also triggered, worsening the situation. It is unclear whether capacity was exceeded or not.",20111019.txt
226,"November 8, 2011",8,11,2011,India,IND,29.9582391,78.17384801,Religious,20,50,30000,"An accident occurred as people were trying to enter a sacred place during a religious festival for which around 200,000 gathered. It is believed the accident occurred as pilgrims were climbing stairs to cross a bridge leading to the venue. Crowd management was said to be handled by volunteers. 50 pilgrims were injured.",20111108.txt
227,"November 22, 2011",22,11,2011,Indonesia,IDN,-6.218572997,106.8026252,Sport,2,-1,88000,Thousands of fans gathered outside a sold-out stadium in the hope to get tickets on the spot. When a gate was momentarily opened fans rushed to get in leaving 2 people dead. In the days preceding the match disorders occurred as the tickets sold out.,20111122.txt
228,"January 9, 2012",9,1,2012,Pakistan,PAK,31.55828972,74.32910945,Entertainment,3,60,7000,"After a concert in a private college, private security guards used batons to push back a group of fans who rushed toward a singer to get his autograph. This led to a second rush toward the exits where the accident occurred. The main gate was closed although details on the reasons are unclear. Venue was said to be over capacity.",20120109.txt
229,"January 10, 2012",10,1,2012,South Africa,ZAF,-26.183333,27.998889,Application,1,20,4000,A woman was killed in a dense crowd as thousands of students attempted to seek precious remaining slots from a university. The accident occurred as the gates were opened. 3 people were critically injured. Most of the people were poor students who were not able to apply online and had to apply on-site.,20120110.txt
230,"January 14, 2012",14,1,2012,India,IND,23.65939252,75.14903339,Religious,12,4,-1,"Pigrims attempted to pass through the closed gate of an area hosting the fire oven on which the faithful walk. An accident occurred killing 12 and injuring four. Police attempt to force back the crowd was blamed by some, while police suspect some may have succombed due to the severe cold.",20120114.txt
231,"February 1, 2012",1,2,2012,Egypt,EGY,31.271111,32.291667,Sport,74,500,14000,"Violent home supporters stormed into the field leading the opposite team and their fans to run into their side to shelter from the attack. An accident occurred during the escape as stadium gate was closed. Many fatalities were caused by knife injuries or direct violence, but appearently also improper crowd management had an impact. More than 500 were injured.",20120201.txt
232,"February 19, 2012",19,2,2012,India,IND,21.52741868,70.50179498,Religious,6,8,30000,A collective rush appearently occurred after brakes of a four-wheeler failed at a fair venue. Tens of thousands of devotees had gathered for the fair concluding a religious event.,20120219.txt
233,"March 18, 2012",18,3,2012,Egypt,EGY,30.07235249,31.27558394,Religious,3,137,30000,"During the funeral of a religious leader attented by ten thousands of people, 3 participants got killed and another 137 were injured. The accident happened at the cathedral square. A non-lethal stempede was also reported as gates were opened, before church officials scrambled to close the doors again.",20120318.txt
234,"May 28, 2012",28,5,2012,Zambia,ZMB,-8.764383319,31.11569525,Application,9,6,5000,"A crowd accident resulted in the deaths of nine people and left six others critically injured. The incident occurred when over 5,000 people gathered for a chance to be hired by a company, but impatience set in as they waited for the gates to open. When the crowd overpowered the security guard and stormed the premises, the crush ensued.",20120528.txt
235,"June 8, 2012",8,6,2012,India,IND,17.31569795,78.44000887,Other/Unknown,1,200,4000,"An accident at a hastily organized event at an under-construction sports complex, resulted in the death of a 65-year-old and left over 200 people injured. The chaos occurred when the crowd, some of whom had been waiting since early morning, rushed into the venue after the gates were opened, with no proper crowd control or facilities. The event, which lacked adequate planning and preparation, was marred by severe overcrowding, dehydration, and heatstroke. Confusion was caused by the last-minute change in the venue.",20120608.txt
236,"September 23, 2012",23,9,2012,India,IND,27.65093453,77.37439483,Religious,3,12,4000,"It is believed that time constraints to perform an ""auspicious sight"" led to an accident in which 3 people died. A dozens sustained serious injuries. Some claims the accident occurred as devotees were passing through the exit and police was absent. Police claims the deaths were caused by hearth attack after climbing the stairs.",20120923.txt
237,"September 24, 2012",24,9,2012,India,IND,24.48144862,86.67652326,Religious,12,30,200000,"An accident occurred inside the hall of a religious institution possibly after an elderly women slipped and fell, leading others to fall over in overcrowded conditions with no space to move. Crowd control was performed by temple volunteer inside the institution with police staying outside. 30 were injured.",20120924.txt
238,"September 25, 2012",25,9,2012,India,IND,26.46242992,80.22481498,Religious,1,20,25000,"An accident occurred late at night after devotees had been waiting in line for the whole night. Some indicate a person fainted leading to the accident, others blame the use of force by the police. The hot weather and high humidity possibly had a contribution, with some also reporting only one out of five exits were used.",20120925.txt
239,"November 1, 2012",1,11,2012,Spain,ESP,40.41299225,-3.738234337,Entertainment,5,-1,16000,An accident occurred in an exit corridor of an arena during a large music party. Venue was found to be over capacity (which was not clearly defined since music events had been never hold in the sport facility) and not long before the accident a cargo gate (not intended for pedestrian access) was opened letting many people in. Crowd control was missing or nearly missing within the premises.,20121101.txt
240,"November 19, 2012",19,11,2012,India,IND,25.62253014,85.15584034,Religious,18,-1,25000,A power outage in the darkness sparked a rush among devotees close to a river to get to the main road resulting in an accident where at least 17 people died. Some claims electricity was cut after a report of a naked electricity wire. It is reported that police control room received the information of the accident more than 1.5 hours later from a journalist.,20121119.txt
241,"January 1, 2013",1,1,2013,Ivory Coast,CIV,5.32825,-4.018417,Entertainment,61,200,50000,"An accident occurred as people were going back home after a firework display. The incident occurred as people exited the stadium and according to some witnesses two large crowds moving in opposite directions collided causing the tragedy. It is believed around 50,000 were on the streets. 200 were injured.",20130101_1.txt
242,"January 1, 2013",1,1,2013,Angola,AGO,-8.827340307,13.25595103,Religious,16,120,70000,"Several people have been killed while trying to enter an overcrowded stadium for a church vigil. Accident occurred at the gates as many more than the 70,000 expected people turned up. According to reports all gates were used and the tragedy occurred as people were moving in through a partially slippery surface.",20130101_2.txt
243,"February 10, 2013",10,2,2013,India,IND,25.44559829,81.82529921,Religious,42,45,30000,"An accident took place at the railway station where millions of pilgrims were converging to take a holy dip for the Kumbh Mela religious festival. Reports are conflicting on the cause, some suggesting a railing collapsed others blaming police use of force to control the crowd.",20130210.txt
244,"February 27, 2013",27,2,2013,China,CHN,32.50177628,111.9249599,Educational,4,7,500,"Students from a primary school attempted to leave the dorm to take morning class but the gate was not open as usual, blocking the flow and causing the accident. When the gate was opened it was already bent by the pressure of the crowd. ",20130227.txt
245,"May 19, 2013",19,5,2013,Ghana,GHA,5.63508189,-0.128459031,Religious,4,30,15000,An accident occurred as worshippers attempted to get holy water distributed for free for a special occasion. The number of people attending was underestimated with police and army unable to control the crowd attempting to enter the church.,20130519.txt
246,"July 14, 2013",14,7,2013,Indonesia,IDN,-3.368183,135.496406,Sport,18,40,1500,"People escaping a riot between spectators during a boxing match scrambled out of the stadium killing 18 and injuring more than 40. The facility accodating 1,500 the day of the match had 2 exits.",20130714.txt
247,"July 16, 2013",16,7,2013,Zimbabwe,ZWE,-18.00875973,31.09014402,Political,5,25,20000,"A crowd accident occurred during a rally, leading to several injuries and up to four fatalities. The incident happened when a crowd, unable to enter due to locked doors, tried to force their way in when one door was briefly opened. People were trampled while attempting to gain access to the stadium. The large turnout exceeded expectations.",20130716.txt
