Number,Full date,Day,Month,Year,Country name,Country code,Latitude,Longitude,Purpose of gathering,Fatalities,Injured,Crowd size,Description,References
76,"August 12, 1994",12,8,1994,Republic of the Congo,COG,-4.29569756,15.24922256,Religious,143,118,50000,"An accident occurred at a church when a sudden storm caused a crowd of up to 50,000 people to rush for shelter. The event resulted in the deaths of over 140 people, mostly children aged 4 to 15, and many were injured.",19940812.txt
77,"November 10, 1994",10,11,1994,Costa Rica,CRI,9.936754846,-84.10769101,Entertainment,1,25,-1,"During a show a fan was killed when the stadium gates were opened. The band was unaware of the incident and continued the performance. After learning of the death, they expressed their condolences through local networks to the victim's family and friends.",19941110.txt
78,"November 23, 1994",23,11,1994,India,IND,21.14940169,79.08039776,Political,114,500,50000,"Security police baton-charged a crowd of about 40,000 people after order broke down at a demonstration. The incident occurred as the crowd tried to escape. At least 113 people died, primarily women and children. Fences and barbed wire barricades had been installed prior to the incident. ",19941123.txt
79,"December 3, 1994",3,12,1994,USA,USA,40.66929046,-74.21586067,Entertainment,4,20,600,"In the early hours of the morning, an accident occurred at an overcrowded nightclub, as young people fled a brawl and became trapped in a narrow stairwell. Four people, including a 13-year-old girl, were killed, and over 20 were injured as the crowd surged and bodies piled up.",19941203.txt
80,"July 17, 1995",17,7,1995,Israel,ISR,31.25799841,35.20904343,Entertainment,2,150,20000,"Two people were killed and more than 150 people were injured in an accident at a rock concert. The incident occurred when the crowd of 20,000 people surged toward the concert doors. At least 20 people were seriously injured. Police and soldiers were called in to help control the crowd.",19950717.txt
81,"October 10, 1995",10,10,1995,Sierra Leone,SLE,8.471752671,-13.1869038,Religious,8,13,30000,"During a large religious gathering, an accident occurred, killing eight people and injuring 13 others. The meeting, attended by 30,000 worshipers, included claims of “miracle” cures. The cause of the stampede is unclear, with some reports suggesting that the appearance of a ""serpent"" caused the collective motion.",19951010.txt
82,"May 11, 1996",11,5,1996,Ireland,IRL,53.34846002,-6.226904204,Entertainment,1,-1,8500,"A deadly crush occurred at a concert at the front of the crowd, leading to the death of a 16-year-old girl and injuries to many others. Witnesses described being trapped in the crowd, with people losing their footing and others unable to get up as the mass surged and swayed. The band stopped playing and urged the crowd to calm down. ",19960511.txt
83,"June 16, 1996",16,6,1996,Zambia,ZMB,-15.37095984,28.26968358,Sport,15,78,40000,"An accident occurred as people tried to flee the stadium and a wall collapsed. Reports are conflicting on what caused the sudden crowd motion, but the stadium was reported being well over capacity. At least 9 people died.",19960616.txt
84,"July 9, 1996",9,7,1996,Libya,LBY,32.8599157,13.13571999,Sport,50,39,60000,"During a football match, riots erupted after spectators shouted anti-Gaddafi slogans. The situation escalated when bodyguards of Gaddafi's sons opened fire on the crowd, leading to a collective motion as thousands fled. Fans also stormed the pitch and attacked the referee, while rioters clashed with police and vandalized foreign cars.",19960709.txt
85,"July 14, 1996",14,7,1996,India,IND,23.18299786,75.76785408,Religious,39,35,200000,"Devotees trumbled in a narrow staircase inside a temple complex killing 39 people and injuring 35. Some were wounded by bamboo and steel wires as they were thrown against a temporary barricade. Gates' opening was delayed, appearently to let in VIP first.",19960714_1.txt
